category,country,status,objective,campaign_id,campaign_name,brand_name,primary_KPI,currency,ad_group_id,start_date,end_date,media_platform,channel,ad_placement,ad_format,sem_keyword_type,age_groups,genders,retargeting,interest,audience_type,billing_type,billing_unit_cost, budget , actual_spend , impressions , clicks , ctr , views , vtr , opens , sessions , conversions , conversion_rate , revenue , roas 
Apparel,DE,completed,conversion,ADIDAS_BF_001,Black Friday Mega Sale,Adidas,roas,EUR,ADIDAS_BF_SEM_BR_1,2024-11-10,2024-12-06,Google,SEM,Search,text,brand,"18-24,25-34,35-44",all,FALSE,"running,fashion",prospecting,cpc,0.72," 81,557 "," 81,557 "," 2,831,850 "," 113,274 ", 0.0400 ,, - ,," 79,292 "," 3,715 ", 0.047 ," 330,538 ", 4.1 
Apparel,DE,completed,conversion,ADIDAS_BF_001,Black Friday Mega Sale,Adidas,roas,EUR,ADIDAS_BF_SEM_GEN_1,2024-11-10,2024-12-06,Google,SEM,Search,text,generic,"18-24,25-34,35-44",all,FALSE,sportswear,prospecting,cpc,1.04," 8,443 "," 8,443 "," 162,860 "," 8,118 ", 0.0498 ,, - ,," 5,683 ", 392 , 0.069 ," 35,357 ", 4.2 
Apparel,DE,completed,conversion,ADIDAS_BF_001,Black Friday Mega Sale,Adidas,roas,EUR,ADIDAS_BF_META_PR_1,2024-11-10,2024-12-06,Instagram,SOCIAL,IG/FB Feed+Stories,image,,"18-24,25-34,35-44",all,TRUE,"running,fashion,lifestyle",prospecting,cpc,0.46," 97,861 "," 97,861 "," 4,625,750 "," 212,741 ", 0.0460 ,, - ,," 136,781 "," 7,877 ", 0.058 ," 925,741 ", 9.5 
Apparel,DE,completed,conversion,ADIDAS_BF_001,Black Friday Mega Sale,Adidas,roas,EUR,ADIDAS_BF_META_RT_1,2024-11-10,2024-12-06,Instagram,SOCIAL,IG/FB Feed+Stories,carousel,,"25-34,35-44",all,TRUE,high_intent,retargeting,cpc,0.63," 37,139 "," 37,139 "," 764,360 "," 58,951 ", 0.0771 ,, - ,," 39,851 "," 2,713 ", 0.068 ," 237,395 ", 6.4 
Apparel,DE,completed,conversion,ADIDAS_BF_001,Black Friday Mega Sale,Adidas,roas,EUR,ADIDAS_BF_YT_1,2024-11-10,2024-12-06,Youtube,DISPLAY,In-stream Click-to-Landing,video,,"18-24,25-34,35-44",all,FALSE,"running,community",prospecting,cpc,0.55," 69,338 "," 69,338 "," 2,290,036 "," 126,069 ", 0.0551 ," 575,775 ", 0.2514 ,," 88,248 "," 5,149 ", 0.058 ," 435,797 ", 6.3 
Apparel,DE,completed,conversion,ADIDAS_BF_001,Black Friday Mega Sale,Adidas,roas,EUR,ADIDAS_BF_CRITEO_RT_1,2024-11-10,2024-12-06,Criteo,DISPLAY,Dynamic Retargeting,native,,"25-34,35-44",all,TRUE,high_purchase_intent,retargeting,cpc,0.68," 35,662 "," 35,662 "," 1,474,432 "," 52,444 ", 0.0356 ,, - ,," 39,176 "," 2,502 ", 0.064 ," 197,559 ", 5.5 
Apparel,DE,completed,conversion,ADIDAS_BF_001,Black Friday Mega Sale,Adidas,roas,EUR,ADIDAS_BF_AFF_1,2024-11-10,2024-12-06,Awin,AFFILIATE,Publisher Mixed,native,,25-45,all,TRUE,,prospecting,cpa,8," 50,000 "," 50,000 ",,,,,,," 62,500 "," 3,486 ", 0.056 ," 394,451 ", 7.9 
Apparel,DE,completed,conversion,ADIDAS_BF_001,Black Friday Mega Sale,Adidas,roas,EUR,ADIDAS_BF_EMAIL_1,2024-11-10,2024-12-06,Salesforce Marketing Cloud,EMAIL,Inbox,html,,25-45,all,FALSE,,retargeting,flat," 20,000 "," 20,000 "," 20,000 ",,,,,," 35,000 "," 22,012 "," 1,704 ", 0.077 ," 141,585 ", 7.1 
Apparel,DE,completed,consideration,ADIDAS_LRC_001,Adidas Local Run Challenge,Adidas,sessions,EUR,ADIDAS_LRC_SEM_BR_1,2024-05-20,2024-06-30,Google,SEM,Search,text,brand,18-44,all,FALSE,"running,athleisure",prospecting,cpc,0.76," 4,000 "," 4,000 "," 134,274 "," 5,263 ", 0.0392 ,, - ,," 4,042 ", 113 , 0.028 ," 7,410 ", 1.9 
Apparel,DE,completed,consideration,ADIDAS_LRC_001,Adidas Local Run Challenge,Adidas,sessions,EUR,ADIDAS_LRC_META_PR_1,2024-05-20,2024-06-15,Instagram,Social,IG/FB Feed+Stories,video,,18-34,all,FALSE,"running,community",prospecting,cpc,0.42," 7,000 "," 7,000 "," 1,055,506 "," 16,667 ", 0.0158 ," 105,551 ", 0.1000 ,," 9,347 ", 296 , 0.032 ," 19,373 ", 2.8 
