customer_id,Brand,campaign_id,ad_group_id,campaign_name,order_id,SKU_id,sku_name,Order_date, RRP ,ASP,no_of_transactions
cs_239,Adidas,ADIDAS_LRC_001,ADIDAS_LRC_SEM_BR_1,Adidas Local Run Challenge,adi_1,ADI-S-0019,Adizero SL - XL - N/A - 7-zone support,2024-05-24,58,52,1
cs_239,Adidas,ADIDAS_LRC_001,,Adidas Local Run Challenge,adi_1,ADI-S-0019,Adizero SL - XL - N/A - 7-zone support,2024-06-27,58,52,1
cs_223,Adidas,ADIDAS_OCR_2024_001,,Adidas Owners Club Refresh,adi_2,ADI-S-0007,Stan Smith - XL - Beige - Boost midsole,2024-03-14,37,33,1
cs_223,Adidas,ADIDAS_OCR_2024_001,,Adidas Owners Club Refresh,adi_2,ADI-S-0005,Essentials Backpack - 41 - Navy - Satin finish,2024-03-25,126,113,1
cs_168,Adidas,ADIDAS_OCR_2024_001,,Adidas Owners Club Refresh,adi_3,ADI-S-0059,Essentials Backpack - L - Black - HEPA H13,2024-04-04,34,31,1
cs_168,Adidas,ADIDAS_OCR_2024_001,,Adidas Owners Club Refresh,adi_3,ADI-S-0005,Essentials Backpack - 41 - Navy - Satin finish,2024-03-09,126,113,1
cs_168,Adidas,ADIDAS_OCR_2024_001,,Adidas Owners Club Refresh,adi_3,ADI-S-0033,Future Icons Tee - S - White - 7-zone support,2024-03-18,178,160,1
cs_200,Adidas,ADIDAS_OCR_2024_001,,Adidas Owners Club Refresh,adi_4,ADI-S-0060,Stan Smith - M - N/A - Boost midsole,2024-03-13,142,127,1
cs_200,Adidas,ADIDAS_OCR_2024_001,,Adidas Owners Club Refresh,adi_4,ADI-S-0036,Essentials Backpack - 200ml - Grey - Ortholite insole,2024-03-25,139,125,1
cs_128,Adidas,ADIDAS_OCR_2024_001,,Adidas Owners Club Refresh,adi_5,ADI-S-0050,Essentials Backpack - 42 - Grey - Hyaluronic acid,2024-04-06,53,48,1
cs_128,Adidas,ADIDAS_OCR_2024_001,,Adidas Owners Club Refresh,adi_5,ADI-S-0060,Stan Smith - M - N/A - Boost midsole,2024-04-04,142,127,1
cs_51,Adidas,ADIDAS_OCR_2024_001,,Adidas Owners Club Refresh,adi_6,ADI-S-0060,Stan Smith - M - N/A - Boost midsole,2024-03-23,142,127,1
cs_51,Adidas,ADIDAS_OCR_2024_001,,Adidas Owners Club Refresh,adi_6,ADI-S-0030,Essentials Backpack - 200g - White - Instant coffee,2024-04-11,74,66,1
cs_182,Adidas,ADIDAS_OCR_2024_001,,Adidas Owners Club Refresh,adi_7,ADI-S-0057,Samba OG - S - N/A - HEPA H13,2024-03-25,31,28,1
cs_182,Adidas,ADIDAS_OCR_2024_001,,Adidas Owners Club Refresh,adi_7,ADI-S-0052,Essentials Backpack - M - Black - Instant coffee,2024-04-10,200,180,1
cs_11,Adidas,ADIDAS_UL_001,ADIDAS_UL_SEM_BR_1,Adidas Ultraboost Light Launch,adi_8,ADI-S-0042,Ultraboost Light - M - Black - Laptop sleeve,2024-03-28,32,29,1
cs_11,Adidas,ADIDAS_UL_001,ADIDAS_UL_SEM_BR_1,Adidas Ultraboost Light Launch,adi_8,ADI-S-0029,Ultraboost Light - 50ml - Green - HEPA H13,2024-02-05,157,141,1
cs_181,Adidas,ADIDAS_UL_001,ADIDAS_UL_SEM_BR_1,Adidas Ultraboost Light Launch,adi_9,ADI-S-0043,Ultraboost Light - 375g - Beige - Boost midsole,2024-03-07,113,101,1
cs_181,Adidas,ADIDAS_UL_001,ADIDAS_UL_SEM_BR_1,Adidas Ultraboost Light Launch,adi_9,ADI-S-0055,Ultraboost Light - 41 - Green - Satin finish,2024-02-24,71,64,1
