sku,name,description,unitOfMeasure,isCritical,category_L1,category_L2,category_L3,category_L4
PROD-fdcf9b,Eco-Friendly Stackable Tray Set,"Durable, reusable trays designed to keep your kitchen organized and clutter-free.",Box,False,Direct Materials,Packaging Materials,Secondary Packaging,Trays & Dividers
PROD-f332df,Heavy-Duty Hex Bolt,A strong and durable hexagonal bolt designed for heavy construction applications.,Set,False,Direct Materials,Components & Sub-Assemblies,Mechanical Components,"Fasteners (Nuts, Bolts, Screws)"
PROD-60ef9c,FitFlex Stretch & Shrink Wrap,"A versatile wrap that adapts to your body's contours, providing comfort and support while effortlessly adjusting for any occasion.",Set,False,Direct Materials,Packaging Materials,Tertiary Packaging & Shipping Supplies,Stretch & Shrink Wrap
PROD-c8493e,Organic Cotton T-Shirt,Eco-friendly cotton t-shirt perfect for casual wear.,Box,True,Direct Materials,Raw Materials,Agricultural Products,"Fibers (Cotton, Wool)"
PROD-89c0fb,EcoSip Glass Water Bottle,A stylish and durable glass water bottle perfect for staying hydrated while reducing plastic waste.,Piece,True,Direct Materials,Packaging Materials,Primary Packaging,"Bottles, Jars & Cans"
PROD-6795b7,Pure Olive Oil,"A high-quality, cold-pressed olive oil perfect for cooking and enhancing your dishes.",Set,False,Direct Materials,Raw Materials,Agricultural Products,Oils & Fats
PROD-9e397d,LabelMate Pro,Advanced adhesive labels designed for professional use across various industries.,KG,False,Direct Materials,Packaging Materials,Tertiary Packaging & Shipping Supplies,Labels & Inserts
PROD-0f1a05,Plastic Injection Molding Kit,"A complete set of tools and materials for creating durable, injection-molded plastic parts.",KG,False,Direct Materials,Raw Materials,Plastics & Polymers,Injection Molded Plastics
PROD-4e3cb4,Goo Gone Pro,"A powerful, eco-friendly solvent that effectively removes adhesives and sticky residues from a variety of surfaces.",Set,False,Direct Materials,Raw Materials,Chemicals,Solvents & Adhesives
PROD-a52bdc,Organic Extra Virgin Olive Oil,"Pure, unrefined olive oil harvested from hand-picked olives for a rich flavor and nutritional benefits.",Set,True,Direct Materials,Raw Materials,Agricultural Products,Oils & Fats
PROD-ed1fe5,Precision Tolerance Resistor,A high-accuracy resistor designed for precise electronic applications requiring tight tolerance control.,Box,False,Direct Materials,Components & Sub-Assemblies,Electronic Components,"Passive Components (Resistors, Capacitors)"
PROD-776134,Sterling Silver Earrings Set,Handcrafted sterling silver earrings perfect for special occasions or everyday elegance.,Piece,False,Direct Materials,Raw Materials,Metals & Minerals,"Precious Metals (Gold, Silver)"
PROD-3f37fe,FlexiWrap Pro,A versatile stretch and shrink wrap solution that effortlessly adapts to various packaging needs.,Piece,False,Direct Materials,Packaging Materials,Tertiary Packaging & Shipping Supplies,Stretch & Shrink Wrap
PROD-239151,Precision Gear Assembly,High-quality machined gear parts designed for optimal performance and durability.,Piece,False,Direct Materials,Components & Sub-Assemblies,Fabricated Parts,Machined Parts
PROD-2fe3c1,Heavy-Duty Hex Bolt,A robust hexagonal bolt designed to withstand heavy loads and provide secure fastening for industrial applications.,Box,False,Direct Materials,Components & Sub-Assemblies,Mechanical Components,"Fasteners (Nuts, Bolts, Screws)"
PROD-4ae3b8,Industrial High-Pressure Pump,"A durable, high-performance pump designed to handle demanding industrial applications.",Box,True,Direct Materials,Components & Sub-Assemblies,Mechanical Components,Motors & Pumps
PROD-5d4eb6,Organic Cotton T-Shirt,100% organic cotton t-shirt that is comfortable and eco-friendly.,Piece,True,Direct Materials,Raw Materials,Agricultural Products,"Fibers (Cotton, Wool)"
PROD-53268a,Acrylate Clearcoat,"A versatile, fast-drying clear coat that enhances paint adhesion and provides durable protection for surfaces.",KG,False,Direct Materials,Raw Materials,Chemicals,Solvents & Adhesives
PROD-61ba83,BioPure Hydrogen Peroxide,A high-purity hydrogen peroxide solution ideal for industrial processes and laboratory applications.,KG,False,Direct Materials,Raw Materials,Chemicals,Bulk & Specialty Chemicals
PROD-646e9f,Precision Machined Aluminum Bracket,"A high-quality, durable aluminum bracket designed for precise mounting applications.",Set,True,Direct Materials,Components & Sub-Assemblies,Fabricated Parts,Machined Parts
PROD-57ff7b,Precision Machined Aluminum Bracket,A high-quality aluminum bracket designed for precise assembly and durability in various industrial applications.,Box,True,Direct Materials,Components & Sub-Assemblies,Fabricated Parts,Machined Parts
PROD-309505,Precision Ball Bearing,High-quality bearings designed to reduce friction and wear in mechanical systems.,Set,True,Direct Materials,Components & Sub-Assemblies,Mechanical Components,Bearings & Gears
PROD-b15c65,Organic Cotton Throw Blanket,Comfortable and eco-friendly throw blanket made from 100% organic cotton fibers.,Box,False,Direct Materials,Raw Materials,Agricultural Products,"Fibers (Cotton, Wool)"
PROD-91f131,EcoGuard Premium Corrugated Box,Durable and eco-friendly corrugated boxes designed to protect your goods during transit.,Box,False,Direct Materials,Packaging Materials,Secondary Packaging,Corrugated Boxes & Cartons
PROD-e65193,Precision Multiplier Resistor,A high-accuracy resistor designed to provide precise electrical impedance matching and signal level adjustment.,Box,False,Direct Materials,Components & Sub-Assemblies,Electronic Components,"Passive Components (Resistors, Capacitors)"
PROD-43d3fd,Precision Tolerance Resistor,A high-accuracy resistor designed for critical electronic circuits requiring precise resistance values.,Piece,False,Direct Materials,Components & Sub-Assemblies,Electronic Components,"Passive Components (Resistors, Capacitors)"
PROD-ef2bd0,Precision Linear Motion Bearings,High-quality linear motion bearings designed to provide smooth and efficient movement in industrial applications.,Piece,False,Direct Materials,Components & Sub-Assemblies,Mechanical Components,Bearings & Gears
PROD-8d5330,Lithium Battery,A high-performance rechargeable lithium-ion battery for portable electronic devices.,Box,True,Direct Materials,Raw Materials,Metals & Minerals,"Non-Ferrous Metals (Aluminum, Copper, Lithium)"
PROD-b7ec98,Lithium Alloy Battery,A high-performance lithium alloy battery designed for efficient energy storage and enhanced performance in various electronic devices.,Set,False,Direct Materials,Raw Materials,Metals & Minerals,"Non-Ferrous Metals (Aluminum, Copper, Lithium)"
PROD-cc30a9,Precision Roller Bearing Series X,"High-quality, durable bearings designed for optimal performance and longevity.",Piece,False,Direct Materials,Components & Sub-Assemblies,Mechanical Components,Bearings & Gears
PROD-6a44b1,EcoGuard Premium Corrugated Box,Durable and eco-friendly corrugated box designed for safe shipping of various goods.,Set,False,Direct Materials,Packaging Materials,Secondary Packaging,Corrugated Boxes & Cartons
PROD-811066,Lustrum Matte Enamel,A premium matte enamel paint offering exceptional durability and rich color depth for both interior and exterior surfaces.,Set,False,Direct Materials,Raw Materials,Chemicals,"Coatings, Pigments & Dyes"
PROD-775a86,Pure Gold Coin,Authentic gold coin perfect for investment or as a luxurious gift.,Box,True,Direct Materials,Raw Materials,Metals & Minerals,"Precious Metals (Gold, Silver)"
PROD-08e7c1,Rapid PCB Pro,"A high-speed, reliable printed circuit board designed for efficient signal routing and thermal management.",Set,False,Direct Materials,Components & Sub-Assemblies,Electronic Components,Printed Circuit Boards (PCBs)
PROD-03b7bb,Organic Cotton T-Shirt,"Made from eco-friendly organic cotton fibers, this t-shirt offers comfort and sustainability.",Box,False,Direct Materials,Raw Materials,Agricultural Products,"Fibers (Cotton, Wool)"
PROD-8f5c0f,Polyethylene Recycling Resin,A high-quality resins derived from recycled polyethylene terephthalate and high-density polyethylene for durable applications.,Box,False,Direct Materials,Raw Materials,Plastics & Polymers,"Resins (PET, HDPE)"
PROD-cb7c2d,Pure Extra Virgin Olive Oil,A premium quality olive oil perfect for cooking and dressing salads.,Set,False,Direct Materials,Raw Materials,Agricultural Products,Oils & Fats
PROD-85e9c4,EcoGuard Premium Corrugated Box,A durable and eco-friendly corrugated box designed for safe shipping of various goods.,KG,True,Direct Materials,Packaging Materials,Secondary Packaging,Corrugated Boxes & Cartons
PROD-322f83,PolyTech Premium Resin,"A high-quality, versatile resin suitable for various applications requiring durability and flexibility.",Piece,True,Direct Materials,Raw Materials,Plastics & Polymers,"Resins (PET, HDPE)"
PROD-6e39cb,Acrylic Solvent Cleaner,A versatile solvent cleaner that effectively removes grease and sticky residues without damaging surfaces.,Box,False,Direct Materials,Raw Materials,Chemicals,Solvents & Adhesives
PROD-ee6dc8,Crystal Clear Glass,"A sleek, hand-blown glass designed to enhance your dining experience while adding elegance to any table setting.",Piece,False,Technical Materials,R&D and Laboratory,Lab Supplies,Glassware & Plasticware
PROD-36b54c,Silicone Lubricant Spray,A versatile silicone-based lubricant spray that reduces friction and protects against wear for optimal machinery performance.,KG,False,Technical Materials,"MRO (Maintenance, Repair & Operations)",Industrial Consumables,"Lubricants, Oils & Greases"
PROD-8bcbf7,Industrial Grade Steel Belt,Durable and high-performance steel belt designed to withstand heavy industrial applications.,Box,False,Technical Materials,"MRO (Maintenance, Repair & Operations)",Spare Parts,"General Industrial Spares (Valves, Belts)"
PROD-afc3da,FlexiConveyor Pro,"A versatile, high-speed conveyor system designed to optimize material handling processes in warehouses and manufacturing facilities.",KG,False,Technical Materials,Manufacturing Equipment,Material Handling Equipment,Conveyor Systems
PROD-a11130,Precision Cutting Machine,A high-performance machine designed to cut materials with exceptional accuracy and efficiency.,Box,False,Technical Materials,Manufacturing Equipment,Production Machinery,Processing Equipment
PROD-3b57b4,Synthetic Lube Pro,A premium synthetic lubricant designed to enhance engine performance and protect machinery against wear.,Piece,False,Technical Materials,"MRO (Maintenance, Repair & Operations)",Industrial Consumables,"Lubricants, Oils & Greases"
PROD-de9c72,Calibrated Protractor,A high-precision measuring tool used to ensure accurate angle measurements in various engineering and construction projects.,KG,False,Technical Materials,R&D and Laboratory,Lab Equipment,Measurement & Testing Instruments
PROD-edbe3d,Premium 3D Print Solutions,"High-quality, customizable 3D printing services tailored to meet your specific needs and requirements.",Box,False,Technical Materials,R&D and Laboratory,Prototyping Services & Materials,3D Printing Services
PROD-290743,Multi-Cleaner All-Purpose Spray,A powerful and versatile cleaning spray suitable for all surfaces and environments.,Piece,False,Technical Materials,"MRO (Maintenance, Repair & Operations)",Industrial Consumables,Cleaning Agents & Janitorial Supplies
PROD-581410,Guardian Fall Respiro,A comprehensive fall protection system that includes respiratory protection to ensure safety and comfort during outdoor activities.,Piece,False,Technical Materials,"MRO (Maintenance, Repair & Operations)",Safety & PPE (Personal Protective Equipment),Fall Protection & Respiratory Gear
PROD-7eebe0,Custom Metal Parts Production,High-quality precision metal parts produced using advanced 3D printing technology tailored to your specific requirements.,KG,False,Technical Materials,R&D and Laboratory,Prototyping Services & Materials,3D Printing Services
PROD-c6d7d8,Guardian Fall Helmet,A durable fall protection helmet designed to keep you safe during high-risk tasks.,Piece,False,Technical Materials,"MRO (Maintenance, Repair & Operations)",Safety & PPE (Personal Protective Equipment),Fall Protection & Respiratory Gear
