sku,name,description,unitOfMeasure,isCritical,category_L1,category_L2,category_L3,category_L4
PROD-58f4ab,Genuine Gold Bar,"A premium-grade gold bar crafted from 24-karat pure gold, perfect for investment or as a luxurious gift.",Piece,False,Direct Materials,Raw Materials,Metals & Minerals,"Precious Metals (Gold, Silver)"
PROD-be104f,Universal Engine Mount,"High-quality replacement engine mount that fits a wide range of vehicle makes and models, ensuring optimal engine stability and reducing vibrations.",Set,False,Technical Materials,"MRO (Maintenance, Repair & Operations)",Spare Parts,Equipment-Specific Spare Parts
PROD-4011d4,Eco-Friendly Rapid Prototyping Resin,"A biodegradable, non-toxic resin ideal for creating high-quality, durable prototypes using 3D printing techniques.",KG,False,Technical Materials,R&D and Laboratory,Prototyping Services & Materials,Rapid Prototyping Materials
PROD-f85570,SnapGuard Pro,"A sleek, ultra-lightweight phone case that offers maximum protection and a comfortable grip for your smartphone.",Set,False,Indirect Services and Materials,IT & Technology,Hardware,"Mobile Devices (Tablets, Smartphones, Accessories)"
PROD-0a9474,BizSphere Enterprise Suite,"A comprehensive suite of enterprise applications that integrates ERP, CRM, and SCM functionalities to streamline business processes, enhance customer relationships, and optimize supply chain management.",KG,True,Indirect Services and Materials,IT & Technology,Software,"Enterprise Applications (ERP, CRM, SCM)"
PROD-d914c6,Ergonomic Executive Desk,"A spacious, adjustable desk designed to accommodate executive workstations while promoting proper posture and productivity.",KG,False,Indirect Services and Materials,Facility Services,Office Supplies & Services,Office Furniture & Fixtures
PROD-6141a9,Ergonomic Office Chair - FlexFit Pro,"The FlexFit Pro office chair provides customizable support to promote comfort, productivity, and overall well-being for long hours of work.",KG,False,Indirect Services and Materials,Facility Services,Office Supplies & Services,Office Furniture & Fixtures
PROD-c649de,SmartStock Pro,"An advanced inventory management system that streamlines stock tracking, automates reorder processes, and provides real-time insights to optimize your supply chain.",Set,True,Indirect Services and Materials,Logistics,Warehousing & Distribution,Inventory Management Systems
PROD-b75dad,Crest CRM Pro,"Streamline your customer interactions and boost sales efficiency with this powerful, user-friendly Customer Relationship Management (CRM) tool.",Box,False,Indirect Services and Materials,Marketing & Sales,Sales Support,Customer Relationship Management (CRM) Tools
PROD-603bc4,The Art of Closing,Master the essential skills and techniques to effectively close sales deals and boost your revenue.,KG,False,Indirect Services and Materials,Marketing & Sales,Sales Support,Sales Training
PROD-25dd54,Precision Gear Module,A high-quality machined gear set designed for optimal performance and durability in industrial applications.,KG,False,Direct Materials,Components & Sub-Assemblies,Fabricated Parts,Machined Parts
PROD-3df99f,ProMax CNC Lathe,"A high-performance CNC lathe designed to deliver precise, efficient machining for a wide range of materials.",KG,False,Technical Materials,Manufacturing Equipment,Production Machinery,CNC Machines & Lathes
PROD-2b1f58,EliteStack Pro,"A versatile, electric pallet jack designed for efficient material handling in warehouses and storage facilities.",KG,False,Technical Materials,Manufacturing Equipment,Material Handling Equipment,Forklifts & Pallet Jacks
